dept_res,lat_res,lon_res,dept_work,lat_work,lon_work,flow_weight
77,48.539927,2.6608169,51,48.9566218,4.3628851,119
77,48.539927,2.6608169,60,49.4300997,2.0823355,382
78,48.8035403,2.1266886,27,49.0268903,1.1510164,484
78,48.8035403,2.1266886,60,49.4300997,2.0823355,194
78,48.8035403,2.1266886,76,49.4404591,1.0939658,198
79,46.3239455,-0.4645212,49,47.4739884,-0.5515588,823
79,46.3239455,-0.4645212,85,46.6705431,-1.4269698,762
82,44.0175835,1.3549991,47,44.2015624,0.6176324,419
83,43.1257311,5.9304919,69,45.7578137,4.8320114,126
83,43.1257311,5.9304919,75,48.8566969,2.3514616,358
83,43.1257311,5.9304919,92,48.8924273,2.2071267,116
84,43.9492493,4.8059012,07,44.7352708,4.5986733,103
84,43.9492493,4.8059012,26,44.9332277,4.8920811,1353
84,43.9492493,4.8059012,69,45.7578137,4.8320114,110
84,43.9492493,4.8059012,75,48.8566969,2.3514616,180
85,46.6705431,-1.4269698,75,48.8566969,2.3514616,135
86,46.5802596,0.340196,36,46.8047,1.6957099,130
86,46.5802596,0.340196,37,47.3900474,0.6889268,622
86,46.5802596,0.340196,49,47.4739884,-0.5515588,182
86,46.5802596,0.340196,75,48.8566969,2.3514616,179
86,46.5802596,0.340196,92,48.8924273,2.2071267,100
89,47.7961287,3.570579,10,48.2971626,4.0746257,188
89,47.7961287,3.570579,45,47.9027336,1.9086066,232
89,47.7961287,3.570579,75,48.8566969,2.3514616,763
89,47.7961287,3.570579,77,48.539927,2.6608169,1142
89,47.7961287,3.570579,91,48.26406,3.25604,135
89,47.7961287,3.570579,92,48.8924273,2.2071267,182
89,47.7961287,3.570579,93,48.906387,2.4452231,117
89,47.7961287,3.570579,94,48.7771486,2.4530731,213
90,47.6379599,6.8628942,68,48.0777517,7.3579641,835
91,48.26406,3.25604,28,48.4438601,1.4881434,164
92,48.8924273,2.2071267,59,50.6365654,3.0635282,143
92,48.8924273,2.2071267,60,49.4300997,2.0823355,279
92,48.8924273,2.2071267,76,49.4404591,1.0939658,125
93,48.906387,2.4452231,59,50.6365654,3.0635282,115
93,48.906387,2.4452231,60,49.4300997,2.0823355,467
93,48.906387,2.4452231,76,49.4404591,1.0939658,103
94,48.7771486,2.4530731,59,50.6365654,3.0635282,103
94,48.7771486,2.4530731,60,49.4300997,2.0823355,164
95,49.0508845,2.1008067,60,49.4300997,2.0823355,1550
